SSC-A,F4/80:Fluorescein (FITC),CD11c-biot:Qdot 605,Gr-1:APC,IgD:APC-Cy5.5,CD11b:APC-Cy7,I-Ad:PE,CD5:PE-Cy5,CD19:PE-Cy5.5,IgM:PE-Cy7
0.6617089,0.752525,0.45425692,0.24396087,0.3460405,0.8240298,0.40087885,0.41383585,0.24995275,0.45074007
0.53947604,0.17408684,0.19211277,0.24470428,0.22863989,0.23203975,0.515436,0.1932309,0.6032253,0.6602746
0.5437128,0.1682617,0.1954323,0.21811908,0.22106579,0.24941671,0.4348404,0.42028004,0.6663181,0.59127414
0.66382366,0.76083237,0.43124145,0.24486293,0.3672613,0.83475727,0.3886409,0.41225684,0.22658335,0.42263213
0.5128307,0.11850007,0.113558434,0.25211704,0.5359109,0.21064065,0.45085418,0.1605354,0.57444876,0.5629794
0.5641125,0.15530887,0.1778805,0.24365942,0.3646375,0.31963068,0.5146371,0.20332155,0.63951343,0.6556458
0.71003,0.555886,0.31911588,0.2547091,0.2122244,0.49182498,0.2747776,0.27398622,0.20211063,0.024560634
0.6874026,0.7866257,0.3805069,0.23952922,0.45849273,0.850713,0.42166656,0.4482242,0.2560471,0.4775148
0.50989306,0.14457516,0.16451383,0.24992357,0.32846314,0.19771741,0.41800967,0.21961223,0.5903456,0.77747166
0.51568466,0.15296762,0.13583472,0.030112073,0.17802884,0.19980149,0.15955403,0.68452084,0.14470084,0.13025804
0.6817157,0.7956362,0.46683267,0.25715998,0.48976198,0.8744915,0.42883554,0.43020788,0.2759238,0.49314103
0.68112963,0.28188807,0.39698502,0.28140068,0.31624514,0.77861875,0.59961116,0.26855245,0.23680596,0.4275882
0.596851,0.17365514,0.5865187,0.25632876,0.28193194,0.719998,0.6030708,0.28090572,0.20227472,0.43221396
0.6968598,0.81325537,0.4133485,0.21716021,0.5422336,0.78918594,0.39677665,0.4169289,0.30773813,0.4861616
0.6981821,0.83338976,0.47465652,0.19792558,0.48685214,0.837419,0.4754473,0.4852204,0.3158335,0.5308843
0.6939903,0.81066257,0.4371723,0.1991655,0.37313655,0.8319855,0.4520209,0.45973092,0.2264154,0.44193244
0.6957083,0.7968397,0.4671124,0.21908703,0.35803548,0.8123645,0.43935248,0.46027523,0.23694043,0.4148287
0.5877515,0.23019835,0.2773147,0.21973598,0.21218617,0.28348383,0.5781108,0.46666086,0.6780518,0.720694
0.5916151,0.27781102,0.21795762,0.20529905,0.16015431,0.32171875,0.564512,0.48043287,0.69278026,0.70582724
0.52008617,0.13660187,0.15498869,0.24128787,0.19827089,0.17798504,0.4440846,0.39653692,0.6535228,0.7810689
0.5753547,0.19506972,0.305154,0.23265135,0.17926048,0.1111812,0.61935085,0.49201453,0.6485953,0.85065144
0.7082543,0.72276944,0.4479616,0.24688847,0.36241776,0.8037972,0.40992796,0.4296313,0.2726909,0.43875897
0.54872036,0.13177998,0.14779687,0.25597388,0.34322852,0.17171648,0.49727172,0.22770566,0.54896545,0.7106974
0.70967,0.569127,0.24996047,0.32634377,0.2703095,0.58598787,0.20989157,0.21436039,0.21700756,0.1224154
0.53079283,0.14661264,0.13581496,0.24048465,0.595067,0.24105436,0.37169388,0.21080455,0.5379059,0.7916576
0.6136286,0.1682825,0.39064863,0.2554485,0.21059148,0.354448,0.13208139,0.14328898,0.2239556,0.15664235
0.5232653,0.14348634,0.21212919,0.14263977,0.24028444,0.26094636,0.17903468,0.60544014,0.17529306,0.14114963
0.7187369,0.85699123,0.5351055,0.17184718,0.53287476,0.8593309,0.51253694,0.515967,0.29648307,0.5443126
0.51423544,0.13091478,0.18525946,-0.011972516,0.1473918,0.21522415,0.1474475,0.7131583,0.087305,0.26839462
0.6786949,0.7919964,0.4512836,0.22676179,0.44950736,0.8019229,0.4318502,0.45005742,0.29854736,0.5358725
0.78301466,0.25038075,0.39405283,0.25910965,0.27621847,0.233728,0.22390305,0.26223513,0.24118532,0.28064835
0.72989625,0.8249494,0.5353808,0.23127054,0.4683944,0.9178538,0.5127125,0.5109601,0.3216668,0.5163508
0.5821803,0.23163776,0.22667901,0.21035229,0.31652355,0.40376657,0.52303004,0.3674457,0.68814224,0.77669317
0.54943377,0.15938452,0.189072,0.22468218,0.19319613,0.19340506,0.49766546,0.33739915,0.67096144,0.8346748
0.7074331,0.82089806,0.4848978,0.2796876,0.48851916,0.8539276,0.43889478,0.41675046,0.26984707,0.45860827
0.64943224,0.15098046,0.2727083,0.24599482,0.2226654,0.22819194,0.2061542,0.19357702,0.23308699,0.10201829
0.7720499,0.2351521,0.29342017,0.24439558,0.26809785,0.21486954,0.23947334,0.3087133,0.21876346,0.3310068
0.6945433,0.784336,0.44176576,0.35031027,0.4419954,0.8647017,0.42112553,0.43981022,0.26542196,0.44501704
0.5759333,0.20264661,0.16660288,0.21183056,0.18595532,0.1722839,0.5027228,0.45315534,0.672251,0.8344255
0.48472643,0.1418809,0.15297306,0.25441852,0.3278339,0.2462702,0.40627986,0.15117504,0.56193393,0.4593624
0.64899915,0.52895033,0.3255068,0.29113644,0.24331005,0.62243336,0.17297004,0.20444387,0.20996892,0.17412013
0.5497899,0.1403501,0.07617917,0.2692853,0.5479957,0.21543019,0.6123493,0.14398408,0.56708926,0.49694425
0.5915861,0.16870007,0.22568673,0.25051472,0.14592193,0.2791378,0.5478735,0.41990596,0.6492618,0.7187222
0.50556016,0.11880585,0.14335318,0.25364208,0.31395984,0.24613462,0.4093339,0.0957338,0.57069457,0.56321365
0.6468431,0.3098212,0.37338072,0.24770303,0.31861514,0.7433618,0.51760423,0.22257325,0.24582784,0.3584499
0.57778275,0.19841738,0.18798536,0.2578586,0.18953075,0.36682296,0.42111358,0.2005694,0.64306897,0.87889314
0.68956804,0.80936897,0.4350018,0.21873046,0.40864164,0.8293253,0.43655723,0.47606456,0.25096473,0.51605546
0.5542498,0.13395165,0.33093685,0.2423469,0.21854864,0.22281672,0.20539252,0.24759127,0.19971459,0.19149286
0.5619829,0.39124566,0.38400722,0.25868055,0.23295541,0.6191814,0.5266679,0.19995257,0.2182706,0.213943
0.5930786,0.117795184,0.26653358,0.15643801,0.24097554,0.14123727,0.5699314,0.5034379,0.6752579,0.80729437
0.49491492,0.1311792,0.23225519,0.26607588,0.5348444,0.28748178,0.45490658,0.076081015,0.56191033,0.58003527
0.49927974,0.14170985,0.15290628,0.2110059,0.17299493,0.25156185,0.16744514,0.5349238,0.17918107,0.14695697
0.6716964,0.5293074,0.2874562,0.28402784,0.19992815,0.43988228,0.25330225,0.19284573,0.21351948,0.09949851
0.53254944,0.14915042,0.13714859,0.25090903,0.49401045,0.3415514,0.5804316,0.07489025,0.63961107,0.72520554
0.55992633,0.14775161,0.21362841,0.23629782,0.26021838,0.13238247,0.31093645,0.33587247,0.5868339,0.84145653
0.5917892,0.19802748,0.2608317,0.24491158,0.12299028,0.2028042,0.42191872,0.34719777,0.6982391,0.84320664
